,avg_acc,fpos_rate,fneg_rate,precision,recall,f1_score,avg_test_time,avg_train_time
0.2,0.892662432829,0.0556652011073,0.0516723660642,0.888673223474,0.89584150176,2.67650137886,0.0139942169189,0.151909637451
0.4,0.906387598246,0.0502496851796,0.0433627165748,0.899504993487,0.912074202489,2.71773369841,0.0105246067047,0.39443321228
0.6,0.914296880089,0.0458672572136,0.0398358626978,0.908271460206,0.919372251665,2.74198083449,0.0070472240448,0.670439958572
0.8,0.916139116843,0.0450696886805,0.038791194477,0.909872362594,0.921449951156,2.74749260786,0.00382189750671,0.991558551788
