,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_dropout_rate,param_epochs,param_neurons,param_optimizer,param_weight_constraint,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,131.302551985,27.1571290493,0.928729296278,0.938630770267,10,10,1,45,Nadam,5,"{'dropout_rate': 10, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",3,0.928510871289,0.936677645708,0.928947721267,0.940583894826,6.06859302521,0.907963037491,0.000218424988669,0.00195312455885
1,263.167214513,26.698745966,0.927996930539,0.94012131254,10,10,2,45,Nadam,5,"{'dropout_rate': 10, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 2, 'neurons': 45}",4,0.935551856993,0.944695736686,0.920442004085,0.935546888394,0.429976344109,0.336524963379,0.00755492645396,0.00457442414604
2,580.079769492,24.2698936462,0.924437892206,0.937397217176,10,10,4,45,Nadam,5,"{'dropout_rate': 10, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 4, 'neurons': 45}",5,0.91725557233,0.926912020831,0.931620212083,0.947882413521,30.151584506,0.139432430267,0.00718231987604,0.0104851963452
3,2227.2098335,29.0496764183,0.937697559587,0.959498365348,10,10,8,45,Nadam,5,"{'dropout_rate': 10, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 8, 'neurons': 45}",2,0.939355017884,0.959395569749,0.936040101291,0.959601160948,906.694281459,2.14735841751,0.00165745829626,0.000102795599225
4,3439.34262908,26.8412975073,0.94115380974,0.965049351235,10,10,16,45,Nadam,5,"{'dropout_rate': 10, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 16, 'neurons': 45}",1,0.943132480772,0.96402139126,0.939175138709,0.96607731121,170.959817052,0.123942494392,0.00197867103152,0.00102795997487
