,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,param_neurons,param_optimizer,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,136.422395945,35.7727370262,0.644764233257,0.644736845725,10,16,1,SGD,"{'epochs': 16, 'neurons': 1, 'optimizer': 'SGD', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
1,128.735236883,36.4835109711,0.644764233257,0.644736845725,10,16,1,RMSprop,"{'epochs': 16, 'neurons': 1, 'optimizer': 'RMSprop', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
2,140.950433016,36.4182469845,0.644764233257,0.644736845725,10,16,1,Adagrad,"{'epochs': 16, 'neurons': 1, 'optimizer': 'Adagrad', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
3,136.275794029,35.5440340042,0.644764233257,0.644736845725,10,16,1,Adadelta,"{'epochs': 16, 'neurons': 1, 'optimizer': 'Adadelta', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
4,133.743442059,39.129543066,0.644764233257,0.644736845725,10,16,1,Adam,"{'epochs': 16, 'neurons': 1, 'optimizer': 'Adam', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
5,140.119899035,37.3469750881,0.644764233257,0.644736845725,10,16,1,Adamax,"{'epochs': 16, 'neurons': 1, 'optimizer': 'Adamax', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
6,142.782315016,35.2917280197,0.644764233257,0.644736845725,10,16,1,Nadam,"{'epochs': 16, 'neurons': 1, 'optimizer': 'Nadam', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
7,184.019125938,43.2559430599,0.644764233257,0.644736845725,10,16,5,SGD,"{'epochs': 16, 'neurons': 5, 'optimizer': 'SGD', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
8,199.049332142,41.3108110428,0.644764233257,0.644736845725,10,16,5,RMSprop,"{'epochs': 16, 'neurons': 5, 'optimizer': 'RMSprop', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
9,199.712296963,41.9228391647,0.644764233257,0.644736845725,10,16,5,Adagrad,"{'epochs': 16, 'neurons': 5, 'optimizer': 'Adagrad', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
10,220.796211004,44.6894462109,0.644764233257,0.644736845725,10,16,5,Adadelta,"{'epochs': 16, 'neurons': 5, 'optimizer': 'Adadelta', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
11,215.555341959,43.3111050129,0.644764233257,0.644736845725,10,16,5,Adam,"{'epochs': 16, 'neurons': 5, 'optimizer': 'Adam', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
12,205.92314887,43.9219601154,0.644764233257,0.644736845725,10,16,5,Adamax,"{'epochs': 16, 'neurons': 5, 'optimizer': 'Adamax', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
13,219.46637392,43.2258319855,0.644764233257,0.644736845725,10,16,5,Nadam,"{'epochs': 16, 'neurons': 5, 'optimizer': 'Nadam', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
14,199.048263073,44.113683939,0.644764233257,0.644736845725,10,16,10,SGD,"{'epochs': 16, 'neurons': 10, 'optimizer': 'SGD', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
15,230.28531599,43.9794170856,0.644764233257,0.644736845725,10,16,10,RMSprop,"{'epochs': 16, 'neurons': 10, 'optimizer': 'RMSprop', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
16,227.654607058,42.7701950073,0.644764233257,0.644736845725,10,16,10,Adagrad,"{'epochs': 16, 'neurons': 10, 'optimizer': 'Adagrad', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
17,239.8300879,43.7892971039,0.644764233257,0.644736845725,10,16,10,Adadelta,"{'epochs': 16, 'neurons': 10, 'optimizer': 'Adadelta', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
18,248.879939795,44.2478101254,0.644764233257,0.644736845725,10,16,10,Adam,"{'epochs': 16, 'neurons': 10, 'optimizer': 'Adam', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
19,230.110830069,42.3439509869,0.934138499954,0.943564960206,10,16,10,Adamax,"{'epochs': 16, 'neurons': 10, 'optimizer': 'Adamax', 'batch_size': 10}",47,0.934138499954,0.943564960206,0.0,0.0,0.0,0.0
20,254.977202892,44.3283390999,0.644764233257,0.644736845725,10,16,10,Nadam,"{'epochs': 16, 'neurons': 10, 'optimizer': 'Nadam', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
21,239.687235117,49.9098680019,0.644764233257,0.644736845725,10,16,15,SGD,"{'epochs': 16, 'neurons': 15, 'optimizer': 'SGD', 'batch_size': 10}",49,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
22,279.029769897,49.2007000446,0.940459969945,0.951069072551,10,16,15,RMSprop,"{'epochs': 16, 'neurons': 15, 'optimizer': 'RMSprop', 'batch_size': 10}",34,0.940459969945,0.951069072551,0.0,0.0,0.0,0.0
