,avg_acc,fpos_rate,fneg_rate,precision,recall,f1_score,avg_test_time,avg_train_time
0.2,0.875245313808,0.0390784360037,0.0856762501879,0.941580535405,0.88026670785,0.88026670785,0.00728549957275,0.00435566902161
0.4,0.878133409676,0.0423131978242,0.0795533924993,0.936742991654,0.887342434747,0.887342434747,0.00518360137939,0.00803375244141
0.6,0.877133164427,0.0435607849873,0.0793060505862,0.93487834628,0.887462705385,0.887462705385,0.00324206352234,0.0124025344849
0.8,0.877310202679,0.0448471315699,0.0778426657506,0.932956733855,0.889103419592,0.889103419592,0.00170121192932,0.0152868270874
