,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall
0,673.7815821,136.778137,0.935397662,0.911553617,0.887328767,0.93713831,0.966796875,0.953705031,0.944902016,0.962673611
1,651.6352341,131.8195169,0.944545805,0.919621573,0.947865479,0.893012153,0.972553454,0.960473723,0.983328281,0.938657407
2,659.323313,126.733495,0.944494411,0.92014197,0.941016334,0.900173611,0.973375822,0.961680722,0.983953981,0.940393519
3,658.6451108,130.6439972,0.944391623,0.921939254,0.919484818,0.924406829,0.973684211,0.963144256,0.958452722,0.967881944
4,662.7720959,139.526566,0.938763973,0.916153548,0.891895595,0.94176794,0.965666118,0.952691218,0.933129856,0.973090278
Average,661.2314672,133.1003424,0.941518695,0.917881992,0.917518199,0.919299769,0.970415296,0.95833899,0.960753371,0.956539352
