,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall
0,2472.705535,33.61065102,0.950457395,0.928359096,0.954462103,0.903645833,0.957161947,0.938275262,0.961086247,0.916521991
1,2465.240005,32.1090169,0.946448761,0.92264291,0.947544983,0.899016204,0.959166367,0.9410805,0.965386078,0.91796875
2,2469.166395,33.05241489,0.949840682,0.927402559,0.954378445,0.901909722,0.959294855,0.941084579,0.968534681,0.915147569
3,2422.884929,32.63257599,0.951176894,0.92949384,0.954282231,0.905960648,0.959140669,0.9411547,0.96354956,0.919777199
4,2423.387596,33.51236987,0.954054887,0.934274371,0.949775785,0.919270833,0.960399856,0.94340177,0.958218309,0.929036458
Average,2450.676892,32.98340573,0.950395724,0.928434555,0.952088709,0.905960648,0.959032739,0.940999362,0.963354975,0.919690394
