,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall
0,630.937597,122.7513871,0.941873314,0.917805233,0.922094042,0.913556134,0.961245888,0.944891098,0.954800591,0.935185185
1,638.3642831,126.196923,0.941924708,0.917373501,0.927409817,0.907552083,0.965974507,0.951487615,0.964062964,0.939236111
2,634.1952839,121.611629,0.941950405,0.916994305,0.931819879,0.902633102,0.967619243,0.95357406,0.971763292,0.936053241
3,645.321986,127.0941091,0.944725684,0.920636092,0.939528579,0.902488426,0.966488487,0.95207292,0.967722654,0.936921296
4,638.2732589,123.996279,0.940459977,0.917863093,0.899965242,0.936487269,0.960217928,0.944753747,0.932375317,0.957465278
Average,637.4184818,124.3300654,0.942186817,0.918134445,0.924163512,0.912543403,0.964309211,0.949355888,0.958144964,0.940972222
