Ratio,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall
0.2,637.4184818,124.3300654,0.9421868174,0.9181344447,0.9241635117,0.9125434028,0.9643092105,0.9493558881,0.9581449636,0.9409722222
0.4,1274.414363,90.80229678,0.9473103544,0.924206049,0.9451980602,0.9041859568,0.9608469958,0.9438083174,0.9628458586,0.9255497686
0.6,1913.084097,59.74969206,0.9475588446,0.924446939,0.9466313746,0.9036168982,0.9590543088,0.9410770838,0.9621800954,0.9211226852
0.8,2461.498695,30.14553781,0.9501695961,0.9299265609,0.9294791461,0.9306712963,0.9586575526,0.9417355961,0.9431386835,0.940625
