,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall
0,1319.477111,97.01990104,0.945179196,0.923002887,0.921052632,0.92496142,0.960014391,0.943335761,0.949838662,0.936921296
1,1288.895656,91.98405099,0.949496334,0.927403467,0.947564412,0.908082562,0.964126021,0.948608452,0.965817091,0.932002315
2,1310.702684,92.89034796,0.947063661,0.926235378,0.917084239,0.935570988,0.965102534,0.951280763,0.943629893,0.959056713
3,1318.476056,91.48297906,0.948571233,0.927463393,0.929394673,0.925540123,0.965153929,0.950976139,0.950563747,0.951388889
4,1317.216039,93.46408296,0.946412664,0.922650841,0.94681283,0.899691358,0.96258416,0.946066084,0.969480717,0.923755787
Average,1310.953509,93.3682724,0.947344618,0.925351193,0.932381757,0.91876929,0.963396207,0.94805344,0.955866022,0.940625
