,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall
0,1289.900133,91.28091788,0.948742548,0.928843227,0.916291291,0.941743827,0.962481369,0.947894361,0.935474782,0.960648148
1,1299.292292,99.14563704,0.949701912,0.928841493,0.933638667,0.924093364,0.962481369,0.946932248,0.95163647,0.942274306
2,1311.600519,93.45062399,0.948605496,0.926492208,0.941721458,0.911747685,0.966079046,0.951463451,0.967544122,0.935908565
3,1318.704846,103.3469129,0.942438155,0.915492958,0.956686291,0.877700617,0.958935088,0.940127389,0.975128245,0.907552083
4,1295.872917,90.18887615,0.94750908,0.926740627,0.91900607,0.934606481,0.965051138,0.951001585,0.947315533,0.954716435
Average,1303.074141,95.48259359,0.947399438,0.925282103,0.933468755,0.917978395,0.963005602,0.947483807,0.95541983,0.940219907
