	,fit_time,	score_time,	test_accuracy,	test_f1,	test_precision,	test_recall,	train_accuracy,	train_f1,	train_precision,	train_recall,
0,	1992.673497,	63.68618202,	0.948710042,	0.927428738,	0.932309942,	0.92259838,	0.957238307,	0.939323221,	0.947058824,	0.931712963,
1,	1959.070117,	63.80399013,	0.945626478,	0.92511325,	0.905626386,	0.945457176,	0.956415967,	0.939635535,	0.924887892,	0.954861111,
2,	1962.488616,	65.616786,	0.94716826,	0.924188791,	0.94253911,	0.906539352,	0.961589858,	0.944916712,	0.963137333,	0.927372685,
3,	1947.140494,	66.77863598,	0.951022716,	0.930024231,	0.944237364,	0.916232639,	0.961555594,	0.945145204,	0.95835812,	0.932291667,
4,	1869.954245,	64.92319608,	0.942799877,	0.921724453,	0.896811277,	0.948061343,	0.956244646,	0.939544572,	0.922640632,	0.957079475,
Average,	1946.265394,	64.96175804,	0.947065475,	0.925695893,	0.924304816,	0.927777778,	0.958608874,	0.941713049,	0.94321656,	0.94066358,
