,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_dropout_rate,param_epochs,param_neurons,param_optimizer,param_weight_constraint,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
21,48.6248760223,40.6355059147,0.935706019172,0.941097854355,10,0.4,1,45,Nadam,2,"{'dropout_rate': 0.4, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",7,0.935706019172,0.941097854355,0.0,0.0,0.0,0.0
22,46.2289481163,42.149846077,0.935860201385,0.940583874582,10,0.4,1,45,Nadam,3,"{'dropout_rate': 0.4, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",5,0.935860201385,0.940583874582,0.0,0.0,0.0,0.0
23,46.1561791897,43.0244350433,0.931543099594,0.939761505965,10,0.4,1,45,Nadam,4,"{'dropout_rate': 0.4, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",33,0.931543099594,0.939761505965,0.0,0.0,0.0,0.0
24,45.1296961308,40.8048229218,0.935397654607,0.940275486044,10,0.4,1,45,Nadam,5,"{'dropout_rate': 0.4, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",9,0.935397654607,0.940275486044,0.0,0.0,0.0,0.0
25,42.199244976,39.5971388817,0.916947185097,0.91786594597,10,0.5,1,45,Nadam,1,"{'dropout_rate': 0.5, 'optimizer': 'Nadam', 'weight_constraint': 1, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",50,0.916947185097,0.91786594597,0.0,0.0,0.0,0.0
26,41.483779192,39.9514789581,0.932391101806,0.938013972715,10,0.5,1,45,Nadam,2,"{'dropout_rate': 0.5, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",28,0.932391101806,0.938013972715,0.0,0.0,0.0,0.0
27,43.6882350445,41.3925688267,0.935217775202,0.93893913747,10,0.5,1,45,Nadam,3,"{'dropout_rate': 0.5, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",10,0.935217775202,0.93893913747,0.0,0.0,0.0,0.0
28,44.0277378559,37.180216074,0.936219959597,0.939658709704,10,0.5,1,45,Nadam,4,"{'dropout_rate': 0.5, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",4,0.936219959597,0.939658709704,0.0,0.0,0.0,0.0
29,43.8576221466,40.3930728436,0.935037896028,0.937294400603,10,0.5,1,45,Nadam,5,"{'dropout_rate': 0.5, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",11,0.935037896028,0.937294400603,0.0,0.0,0.0,0.0
30,41.9631419182,39.6578941345,0.932288313485,0.936780420156,10,0.6,1,45,Nadam,1,"{'dropout_rate': 0.6, 'optimizer': 'Nadam', 'weight_constraint': 1, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",29,0.932288313485,0.936780420156,0.0,0.0,0.0,0.0
31,41.1615009308,41.3677539825,0.93388152971,0.93719160471,10,0.6,1,45,Nadam,2,"{'dropout_rate': 0.6, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",16,0.93388152971,0.93719160471,0.0,0.0,0.0,0.0
32,41.9443879128,40.1428799629,0.933701650612,0.937602788651,10,0.6,1,45,Nadam,3,"{'dropout_rate': 0.6, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",18,0.933701650612,0.937602788651,0.0,0.0,0.0,0.0
33,41.8616640568,42.316724062,0.93398431774,0.939144729869,10,0.6,1,45,Nadam,4,"{'dropout_rate': 0.6, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",15,0.93398431774,0.939144729869,0.0,0.0,0.0,0.0
34,43.4287428856,43.0215039253,0.934421167159,0.935444071521,10,0.6,1,45,Nadam,5,"{'dropout_rate': 0.6, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",12,0.934421167159,0.935444071521,0.0,0.0,0.0,0.0
35,44.1698629856,42.0115008354,0.929178972638,0.928453939771,10,0.7,1,45,Nadam,1,"{'dropout_rate': 0.7, 'optimizer': 'Nadam', 'weight_constraint': 1, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",40,0.929178972638,0.928453939771,0.0,0.0,0.0,0.0
