,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
35,112.654613972,18.8932609558,0.644764225227,0.644736844434,1500,32,"{'epochs': 32, 'batch_size': 1500}",37,0.644764225227,0.644736844434,0.0,0.0,0.0,0.0
36,12.5038280487,11.5345230103,0.644764223979,0.644736837204,2000,1,"{'epochs': 1, 'batch_size': 2000}",43,0.644764223979,0.644736837204,0.0,0.0,0.0,0.0
37,11.8999819756,12.0235249996,0.644764223979,0.644736837204,2000,2,"{'epochs': 2, 'batch_size': 2000}",43,0.644764223979,0.644736837204,0.0,0.0,0.0,0.0
38,18.6107780933,11.1813020706,0.644764223979,0.644736837204,2000,4,"{'epochs': 4, 'batch_size': 2000}",43,0.644764223979,0.644736837204,0.0,0.0,0.0,0.0
39,30.2626018524,11.4126980305,0.644764223979,0.644736837204,2000,8,"{'epochs': 8, 'batch_size': 2000}",43,0.644764223979,0.644736837204,0.0,0.0,0.0,0.0
40,54.5468680859,14.3119430542,0.644764223979,0.644736837204,2000,16,"{'epochs': 16, 'batch_size': 2000}",43,0.644764223979,0.644736837204,0.0,0.0,0.0,0.0
41,100.013900995,15.0612440109,0.644764223979,0.644736837204,2000,32,"{'epochs': 32, 'batch_size': 2000}",43,0.644764223979,0.644736837204,0.0,0.0,0.0,0.0
42,12.3601529598,9.84529209137,0.644764231346,0.644736823577,5000,1,"{'epochs': 1, 'batch_size': 5000}",21,0.644764231346,0.644736823577,0.0,0.0,0.0,0.0
43,11.0561418533,9.44085216522,0.644764231346,0.644736823577,5000,2,"{'epochs': 2, 'batch_size': 5000}",21,0.644764231346,0.644736823577,0.0,0.0,0.0,0.0
44,17.9442310333,9.81138706207,0.644764231346,0.644736823577,5000,4,"{'epochs': 4, 'batch_size': 5000}",21,0.644764231346,0.644736823577,0.0,0.0,0.0,0.0
45,27.1688079834,10.5270638466,0.644764231346,0.644736823577,5000,8,"{'epochs': 8, 'batch_size': 5000}",21,0.644764231346,0.644736823577,0.0,0.0,0.0,0.0
46,46.629034996,12.9084439278,0.644764231346,0.644736823577,5000,16,"{'epochs': 16, 'batch_size': 5000}",21,0.644764231346,0.644736823577,0.0,0.0,0.0,0.0
47,85.9320411682,12.6754200459,0.644764231346,0.644736823577,5000,32,"{'epochs': 32, 'batch_size': 5000}",21,0.644764231346,0.644736823577,0.0,0.0,0.0,0.0
